area,avg_ms,max_ms,p99_ms,calls_per_frame
__frame_total,105.007,111.015,111.015,1.000
Grass Collect,2.472,4.168,4.168,1.000
Prop Culling,0.133,0.467,0.467,1.000
Face Visibility,0.035,0.113,0.113,1.000
Mesh Dirty,0.015,0.033,0.033,1.000
Grass Wind,0.008,0.011,0.011,1.000
Fog Submit,0.003,0.006,0.006,1.000
Grass Cull,0.002,0.012,0.012,1.000
Grass Animate,0.001,0.004,0.004,1.000
Reflection Render,0.001,0.002,0.002,1.000
Prop Billboard,0.001,0.003,0.003,1.000
Visible Chunks,0.000,0.001,0.001,1.000
Collider Build,0.000,0.000,0.000,0.000
Foliage Fade,0.000,0.000,0.000,1.000
God Rays,0.000,0.000,0.000,0.000
LOD Update,0.000,0.000,0.000,1.000
Octree Rebuild,0.000,0.000,0.000,1.000
Prop Spawn,0.000,0.000,0.000,1.000
Water Sim,0.000,0.000,0.000,0.000
Water Upload,0.000,0.000,0.000,0.000
